Part,Value,Device,Package,Description,Link
SPI,,"3 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
SWITCH,,"2 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U$1,,"9 pin, male 90 deg pins",,,http://www.aliexpress.com/item/10PCS-1x40-Pin-2-54mm-Right-Angle-Single-Row-Male-Pin-Header-Connector/32403777838.html
U$3,,"9 pin, male 90 deg pins",,,http://www.aliexpress.com/item/10PCS-1x40-Pin-2-54mm-Right-Angle-Single-Row-Male-Pin-Header-Connector/32403777838.html
U$4,,"9 pin, male pins",,,http://www.aliexpress.com/item/10pcs-Connector-2-54mm-40-Pin-Male-Single-Row-silver-Pin-Header-Strip-Brand-New/32417455102.html
U1,,EEPROM memory,SO-08,512K flash memory,https://www.digikey.com/product-detail/en/AT25DF512C-SSHN-B/1265-1179-5-ND/4901487
U2,,ATSHA204A,SOT23-3,Crypto chip,https://www.digikey.com/product-detail/en/ATSHA204A-STUCZ-T/ATSHA204A-STUCZ-TCT-ND/4814557
U3,,3.3V Arduino Pro Mini Clone,PRO_MINI_CLONE_NO_PROG,ABK Pro-Mini Arduino Clone,http://www.aliexpress.com/item/Free-Shipping-1pcs-pro-mini-atmega328-Pro-Mini-328-Mini-ATMEGA328-3-3V-8MHz-for-Arduino/32340942669.html
U4,,AMS1117 3.3V,SOT223,,http://www.aliexpress.com/item/50pcs-AMS1117-3-3-AMS1117-LM1117-1117-3-3V-1A-Voltage-Regulator/32347685609.html
U5,,RFM69W radio,,,http://www.ebay.com/itm/181170695434?_trksid=p2057872.m2749.l2649&ssPageName=STRK%3AMEBIDX%3AIT
,,,,,
Miscellaneous Items,,,,,
Case,,,,,http://www.aliexpress.com/item/Wholesale-electrical-junction-box-10pcs-105-65-40mm-plastic-instrument-box-plastic-box-electronic-project-box/1986580384.html
Antenna,,,,,http://www.aliexpress.com/item/20pcs-lot-helical-antenna-SW915-TH12-915MHz-12-5mm-Copper-spring-antenna-for-wireless-RF-module/2043535002.html
Piezo,,3V buzzer,,,http://www.ebay.com/itm/181502256974?_trksid=p2057872.m2749.l2649&ssPageName=STRK%3AMEBIDX%3AIT
